State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,120,173,138,118,114,87,70,83,70,69,87,96,76,75,90,73,71,62,71,79,46,70,66,101,96
Alaska,91,90,99,77,68,64,42,48,52,54,48,48,44,19,24,20,23,18,18,25,26,15,22,14,22
Arizona,327,321,239,302,331,222,217,188,174,194,209,167,158,151,113,158,99,95,87,97,90,123,129,96,162
Arkansas,92,111,115,91,87,75,74,50,55,68,55,81,66,78,60,55,68,56,54,49,47,64,60,37,75
California,849,920,770,894,900,771,745,797,603,630,569,601,520,478,412,399,365,426,379,369,386,350,322,324,493
Colorado,77,66,91,85,98,74,61,54,38,45,44,54,39,60,53,58,46,32,57,36,43,32,28,44,46
Connecticut,52,70,63,72,64,39,56,55,58,49,42,61,53,56,52,42,49,35,40,58,47,49,39,40,54
Delaware,27,27,37,22,23,23,12,5,16,18,9,15,11,16,21,10,13,8,15,13,23,23,23,13,19
Florida,"1,261","1,215","1,255","1,299","1,204",993,831,752,713,603,633,663,616,610,608,685,662,685,581,671,684,723,607,679,804
Georgia,98,147,155,195,194,113,131,141,118,111,149,139,150,145,135,96,111,92,92,85,112,102,104,109,107
Hawaii,18,23,39,15,17,21,14,3,8,10,4,10,21,19,15,17,28,14,9,12,14,15,8,15,10
Idaho,86,58,49,68,72,46,39,54,70,54,74,63,65,74,67,57,66,42,43,39,50,46,44,50,77
Illinois,156,145,159,159,155,108,134,82,72,101,70,107,119,96,97,106,101,59,84,66,74,84,67,75,85
Indiana,143,115,132,150,115,120,97,56,51,41,51,32,55,42,43,50,43,44,40,43,40,57,43,40,52
Iowa,66,93,82,86,67,36,38,25,32,53,40,47,38,37,54,38,33,24,33,36,37,40,31,21,38
Kansas,59,60,78,50,45,54,42,35,36,24,39,24,38,27,30,40,27,24,17,25,32,29,22,13,32
Kentucky,95,79,63,75,98,71,67,55,46,58,65,59,46,62,75,46,47,31,46,41,46,41,41,39,44
Louisiana,146,123,171,178,220,154,145,130,156,126,119,119,110,120,105,112,116,96,113,87,112,106,95,105,124
Maine,42,72,70,55,73,60,57,55,41,46,56,90,32,44,34,48,48,54,35,32,49,49,43,35,41
Maryland,197,223,215,182,198,186,161,146,178,183,138,170,159,174,196,184,145,110,130,146,150,147,122,130,148
Massachusetts,21,47,58,49,66,51,51,43,55,45,46,36,64,51,60,46,68,83,82,89,92,66,77,79,75
Michigan,478,354,451,343,227,299,226,218,143,161,185,185,187,131,132,129,103,92,97,90,125,116,119,128,159
Minnesota,138,178,165,160,143,125,122,106,88,114,113,123,86,82,82,75,84,75,50,87,96,105,77,100,105
Mississippi,98,71,74,87,82,64,43,41,35,23,31,31,24,39,17,34,57,41,25,30,43,34,31,20,25
Missouri,315,333,238,240,282,226,192,201,172,202,175,168,135,150,161,128,141,111,142,109,137,124,122,145,152
Montana,32,23,14,25,15,13,17,11,12,12,16,24,31,20,11,19,17,16,14,14,23,9,19,13,25
Nebraska,40,40,53,54,57,55,35,39,36,28,33,31,20,31,24,22,45,25,26,32,22,27,20,19,13
Nevada,193,153,118,129,123,109,69,89,65,93,82,76,80,67,59,42,57,48,47,38,48,35,53,44,66
New Hampshire,37,81,74,109,94,74,68,49,35,45,79,54,28,60,46,36,40,40,44,53,76,49,39,37,59
New Jersey,260,237,225,212,199,143,70,85,124,100,84,136,140,126,116,119,115,123,111,122,109,106,116,110,135
New Mexico,72,56,65,37,44,50,41,31,21,31,34,38,30,34,37,24,18,16,13,10,16,18,24,13,18
New York,325,322,326,314,287,223,212,224,178,190,152,180,160,148,211,173,197,180,175,174,188,167,143,165,175
North Carolina,190,198,223,187,172,179,138,144,140,164,175,158,148,144,148,144,145,139,124,162,143,117,182,128,183
North Dakota,16,13,25,15,23,10,16,10,7,9,7,10,15,7,11,10,10,5,11,11,15,15,13,16,18
Ohio,242,197,228,232,198,139,140,122,105,132,111,121,125,105,127,135,136,108,100,100,113,117,126,128,163
Oklahoma,117,133,105,92,104,86,72,72,55,62,71,56,54,55,51,57,71,42,50,58,44,38,36,24,59
Oregon,106,108,120,95,97,70,65,73,50,51,47,60,53,67,60,66,70,59,61,65,82,60,65,62,91
Pennsylvania,117,119,122,125,88,80,74,79,58,61,56,64,59,58,70,87,59,71,66,52,55,69,63,58,58
Rhode Island,36,18,33,38,57,27,31,30,41,38,37,44,35,50,34,26,31,42,40,37,36,31,26,42,57
South Carolina,115,125,165,120,134,123,105,108,83,83,93,104,107,95,102,93,108,104,124,123,136,151,130,141,153
South Dakota,20,29,18,8,20,23,18,24,8,18,16,12,16,21,18,13,18,10,8,15,20,17,12,23,25
Tennessee,154,119,166,130,196,132,129,155,173,114,149,146,130,117,116,117,147,119,111,107,116,93,109,107,155
Texas,160,215,228,210,219,206,204,198,159,144,195,197,218,168,163,197,162,146,167,154,176,170,204,184,281
Utah,170,77,156,156,143,83,76,58,56,79,85,71,80,87,103,109,99,76,80,79,94,58,81,86,90
Vermont,7,10,7,13,7,8,6,2,5,2,1,3,8,4,2,7,3,2,5,4,4,3,6,4,6
Virginia,176,222,182,184,175,152,121,115,136,127,137,145,95,137,102,121,89,64,60,70,83,72,80,84,102
Washington,131,169,144,114,131,117,111,126,134,128,96,97,98,111,72,93,105,94,122,107,98,109,94,106,114
West Virginia,18,20,18,25,20,15,17,14,9,14,21,26,11,32,23,17,19,16,24,11,24,12,16,9,16
Wisconsin,225,211,205,167,144,164,148,126,107,127,99,119,110,102,104,110,110,79,102,103,103,105,106,82,133
Wyoming,9,11,12,24,12,12,11,10,3,10,19,8,11,18,15,16,9,6,11,8,8,10,8,11,4
