State,Car Fatals,Trains,Plane,Boat
Alabama,9993,18,2,199
Alaska,750,0,28,172
Arizona,9919,8,3,89
Arkansas,5955,11,0,120
California,37183,82,3,481
Colorado,5995,17,0,101
Connecticut,3031,0,0,55
Delaware,1265,0,0,21
Florida,31053,70,3,687
Georgia,15198,12,0,178
Hawaii,1165,0,5,44
Idaho,2346,5,0,113
Illinois,11120,50,0,175
Indiana,8944,21,0,86
Iowa,3798,8,3,66
Kansas,4443,9,0,49
Kentucky,8149,5,0,118
Louisiana,8172,21,0,243
Maine,1682,2,0,84
Maryland,5613,7,0,147
Massachusetts,3921,5,0,113
Michigan,10729,8,0,266
Minnesota,4222,12,0,158
Mississippi,7179,24,0,96
Missouri,9494,10,4,165
Montana,2202,9,0,69
Nebraska,2422,5,0,37
Nevada,3237,12,6,55
New Hampshire,1260,0,0,40
New Jersey,6362,7,0,69
New Mexico,4060,7,0,28
New York,11922,23,5,252
North Carolina,15095,13,0,248
North Dakota,1371,8,0,28
Ohio,12085,7,2,177
Oklahoma,7356,21,0,114
Oregon,4541,2,0,166
Pennsylvania,13228,28,1,141
Rhode Island,676,1,0,20
South Carolina,10184,13,0,210
South Dakota,1407,1,0,30
Tennessee,11358,2,5,204
Texas,38662,75,21,467
Utah,2805,5,0,82
Vermont,681,0,0,20
Virginia,8577,13,2,170
Washington,5537,9,2,240
West Virginia,3258,1,2,47
Wisconsin,6374,10,0,201
Wyoming,1415,5,0,25
