caseyear,fatals_case_only,injury_only,property_damage_only,fatals,total_crash,vehicle_miles_milions,fatality_per_thousand_crash,fatality_per_vmt
2010,30626,1542104,3847045,33339,5419775,2967265.97,6.15136237205419,0.011235595439393658
2011,30210,1529968,3777994,32840,5338172,2950401.81,6.1519186717850225,0.011130687314755952
2012,31358,1634180,3949858,34148,5615396,2969432.94,6.081138356048265,0.011499838753725148
2013,30516,1591016,4065673,33237,5687205,2988280.19,5.844171258113607,0.011122451004167718
2014,30343,1647726,4386502,33048,6064571,3025655.73,5.449354950251221,0.010922590984930067
2015,32835,1715394,4548203,35794,6296432,3095372.7,5.684806887456261,0.011563712505444013
2016,35017,2116308,4670073,38085,6821398,3174407.96,5.5831663831959375,0.011997512758253039
2017,34841,1888525,4529513,37763,6452879,3212347.31,5.852116551387374,0.011755578197427227
2018,34214,1893704,4807058,37143,6734976,3240326.54,5.514941701351274,0.011462733629308853
2019,33762,1916344,4806253,36644,6756359,3261771.66,5.423631278326092,0.011234385425986563
2020,35995,1593390,3621681,39066,5251066,2903621.53,7.439632257526377,0.013454232790455994
